,Gene.name,First.Protein.Description,Intensity.M_1,Intensity.M_2,Intensity.M_3,Intensity.2D_1,Intensity.2D_2,Intensity.2D_3
844,BAK1,BCL2 antagonist/killer 1,0,0,0,214000,407000,0
845,BANF1,BAF nuclear assembly factor 1,2490000,4040000,8620000,7960000,4310000,2530000
846,BAX,Apoptosis regulator Bax,6160000,8250000,2450000,6030000,6160000,5790000
847,BAZ1A,Bromodomain adjacent to zinc finger domain 1A,0,0,0,0,0,0
848,BAZ1B,Bromodomain adjacent to zinc finger domain 1B,0,142000,0,0,0,0
849,BBS1,BBS1 domain-containing protein,3290000,3220000,973000,636000,768000,570000
850,BBS2,Bardet-Biedl syndrome 2 protein homolog,1830000,1720000,1880000,409000,535000,0
851,BBS2,Bardet-Biedl syndrome 2 protein homolog,1050000,725000,0,0,214000,0
852,BBS4,Bardet-Biedl syndrome 4,1810000,1800000,1340000,0,442000,0
853,BBS5,Bardet-Biedl syndrome 5 protein homolog,1510000,1670000,667000,255000,367000,0
854,BBS7,Bardet-Biedl syndrome 7 protein homolog,2330000,1880000,1730000,703000,491000,427000
855,BBS9,Bardet-Biedl syndrome 9,0,0,0,0,0,0
856,BBS9,Bardet-Biedl syndrome 9,1810000,1350000,1430000,0,665000,0
857,BBS9,Uncharacterized protein,478000,664000,0,1290000,0,0
858,BCAM,Basal cell adhesion molecule,11800000,12900000,5450000,4920000,6210000,13700000
859,BCAM,Basal cell adhesion molecule,36300000,43500000,43200000,26900000,22900000,55600000
860,BCAM,Basal cell adhesion molecule,9290000,11300000,1150000,11800000,8190000,14100000
861,BCAP29,B-cell receptor-associated protein,190000,296000,0,902000,579000,712000
862,BCAP31,B-cell receptor-associated protein,1800000,2450000,26700000,6330000,9340000,8730000
863,BCAR1,"BCAR1 scaffold protein, Cas family member",3690000,5120000,5450000,1210000,1680000,928000
864,BCAS1,Brain enriched myelin associated protein 1,1760000,938000,1360000,0,0,0
865,BCAS1,Brain enriched myelin associated protein 1,12700000,9520000,16700000,0,0,0
866,BCAS1,Brain enriched myelin associated protein 1,1080000,126000,195000,0,0,0
867,BCAS1,Brain enriched myelin associated protein 1,1740000,722000,0,0,0,0
868,BCAS1,Brain enriched myelin associated protein 1,2.00E+06,2290000,76000,0,0,0
869,BCAS2,Pre-mRNA-splicing factor SPF27,0,0,0,0,0,0
870,BCAS3,BCAS3 microtubule associated cell migration factor,2280000,1850000,1230000,2330000,3320000,2220000
871,BCAT1,Branched-chain-amino-acid aminotransferase,7380000,9910000,7910000,9320000,8320000,6360000
872,BCAT2,Branched-chain-amino-acid aminotransferase,0,0,0,0,759000,0
873,BCCIP,BRCA2 and CDKN1A-interacting protein,0,0,156000,59900,62100,0
874,BCHE,Carboxylic ester hydrolase,0,323000,0,0,0,0
875,BCKDHA,2-oxoisovalerate dehydrogenase subunit alpha,0,0,0,156000,1150000,0
876,BCKDHB,Branched chain keto acid dehydrogenase E1 subunit beta,0,0,0,0,0,0
877,BCKDK,Protein-serine/threonine kinase,0,0,0,0,428000,0
878,BCL10,BCL10 immune signaling adaptor,1020000,595000,0,946000,693000,1240000
879,BCL2,Apoptosis regulator Bcl-2,0,0,0,0,0,0
880,BCL2L12,BCL2 like 12,733000,616000,0,802000,881000,595000
881,BCL2L13,BCL2 like 13,0,0,0,0,0,0
882,BCL2L15,BCL2 like 15,316000,288000,0,0,0,0
883,BCLAF1,BCL2 associated transcription factor 1,0,2.00E+05,0,0,0,0
884,bcl-xL,Bcl-2-like protein 1,156000,0,0,574000,1030000,546000
885,BCO1,Beta-carotene oxygenase 1,47500000,76300000,0,30200000,14300000,9330000
886,BCO2,6-pyruvoyl tetrahydrobiopterin synthase,394000,345000,782000,485000,347000,263000
887,BCR,BCR activator of RhoGEF and GTPase,1460000,1810000,1190000,553000,558000,489000
888,BCS1L,Mitochondrial chaperone BCS1,0,0,0,0,0,0
889,BDH1,3-hydroxybutyrate dehydrogenase 1,0,0,0,0,0,0
890,Bdkrb2,B2 bradykinin receptor,0,55100,0,0,234000,372000
891,BECN1,Beclin-1,280000,169000,231000,366000,461000,408000
892,BET1,Bet1 golgi vesicular membrane trafficking protein,0,0,0,0,678000,0
893,BET1L,Bet1 golgi vesicular membrane trafficking protein like,0,0,0,0,0,0
894,BFAR,Bifunctional apoptosis regulator,0,0,0,265000,203000,0
895,BGN,Biglycan,68200,0,0,970000,2310000,0
896,BICC1,BicC family RNA binding protein 1,606000,685000,0,0,461000,0
897,BICD2,BICD cargo adaptor 2,920000,664000,0,5390000,5990000,4420000
898,BID,BH3-interacting domain death agonist,180000,284000,0,0,0,0
899,BIN1,Bridging integrator 1,466000,409000,0,563000,874000,646000
900,BIN3,Bridging integrator 3,662000,9.00E+05,807000,0,0,0
901,BIRC2,Baculoviral IAP repeat containing 2,306000,0,0,0,599000,0
902,BIRC4,Baculoviral IAP-repeat containing protein 4,676000,740000,707000,537000,763000,603000
903,BIRC5,Baculoviral IAP repeat-containing protein 5,0,0,0,0,0,0
904,BIRC6,Baculoviral IAP repeat containing 6,330000,255000,375000,422000,892000,260000
905,BLMH,Bleomycin hydrolase,5230000,5480000,9920000,11800000,7970000,11100000
906,BLNK,B cell linker,998000,913000,1600000,0,0,0
907,BLOC1S1,Biogenesis of lysosome-related organelles complex 1 subunit 1,0,0,0,1080000,0,827000
908,BLOC1S2,Biogenesis of lysosomal organelles complex 1 subunit 2,471000,342000,297000,507000,634000,398000
909,BLOC1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3,103000,0,0,417000,231000,0
910,BLOC1S5,Biosis of lysosomal organelles complex 1 subunit 5,0,0,0,0,488000,0
911,BLVRA,Biliverdin reductase A,2930000,3470000,3810000,5680000,8050000,5570000
912,BLVRB,Biliverdin reductase B,32200000,36300000,3.50E+07,91400000,72900000,95200000
913,BLVRB,Biliverdin reductase B,17500000,21200000,73900000,1.70E+07,28200000,31800000
914,BLVRB,Biliverdin reductase B,2550000,659000,0,1700000,1530000,1300000
915,BMP1,Metalloendopeptidase,0,0,0,965000,4010000,1160000
916,BMP1,Metalloendopeptidase,149000,263000,0,4050000,11300000,3440000
917,BMP2K,BMP2 inducible kinase,61500,0,0,136000,612000,339000
918,BMP7,Bone morphogenetic protein 7 (Fragment),0,0,0,0,0,0
919,BMPR1A,Receptor protein serine/threonine kinase,3260000,4020000,2350000,616000,965000,1050000
920,BMPR2,Receptor protein serine/threonine kinase,1880000,2730000,1300000,5110000,4850000,7550000
921,BNIP1,BCL2 interacting protein 1,0,112000,552000,591000,447000,0
922,BNIP1,BCL2 interacting protein 1,174000,143000,257000,174000,379000,369000
923,BNIP1,BCL2 interacting protein 1,0,0,0,0,0,0
924,BNIP2,BCL2 interacting protein 2,135000,260000,0,1450000,1480000,1120000
925,BNIP3,BCL2 interacting protein 3,425000,542000,198000,0,204000,0
926,BNIP3,BNIP3L,238000,312000,0,0,334000,0
927,BNIP3L,BNIP3L,130000,0,0,0,0,0
928,BOK,BCL domain-containing protein,0,0,0,0,0,0
929,BOLA1,BolA family member 1,212000,382000,0,663000,665000,416000
930,BOLA2B,BolA-like protein 2,4810000,3970000,3270000,6740000,5450000,5400000
931,BOLA3,BolA family member 3,0,0,0,0,0,0
932,BOP1,Diacylglycerol O-acyltransferase 1,0,846000,335000,0,351000,0
933,BOP1,Ribosome biogenesis protein BOP1,494000,864000,0,0,282000,0
934,BORCS5,BLOC-1-related complex subunit 5,0,0,0,347000,485000,185000
935,BORCS6,BLOC-1 related complex subunit 6,0,0,0,37700,0,60400
936,BORCS7,BLOC-1-related complex subunit 7,2180000,1750000,1980000,0,0,716000
937,BORCS7,Cyclin and CBS domain divalent metal cation transport mediator 2,1230000,813000,1470000,0,0,0
938,BORCS7,Cyclin and CBS domain divalent metal cation transport mediator 2,505000,642000,604000,449000,661000,431000
939,BORCS7,Cyclin and CBS domain divalent metal cation transport mediator 3,109000,0,0,0,0,0
940,BORCS7,Cyclin and CBS domain divalent metal cation transport mediator 4,1110000,1600000,3490000,1330000,823000,1010000
941,BPGM,Phosphoglycerate mutase,549000,417000,2480000,1280000,1150000,1430000
942,BPHL,Biphenyl hydrolase like,0,0,0,0,0,0
943,BPI,Bactericidal permeability-increasing protein,0,146000,411000,0,0,0
944,BPNT1,"3'(2'), 5'-bisphosphate nucleotidase 1",10900000,1.20E+07,14500000,9170000,7700000,8680000
945,BPNT2,"3'(2'), 5'-bisphosphate nucleotidase 2",1050000,1160000,1250000,1370000,1450000,1680000
946,BRAF,Non-specific serine/threonine protein kinase,0,0,317000,1860000,2420000,2080000
947,BRAF,Non-specific serine/threonine protein kinase,535000,609000,0,2620000,2490000,2420000
948,BRAP,BRCA1 associated protein,0,0,0,0,0,0
949,BRAT1,BRCA1 associated ATM activator 1,397000,0,361000,1800000,3090000,1.00E+06
950,BRD2,Bromodomain-containing protein 2,0,1.00E+05,0,0,0,0
951,BRD3,Bromodomain containing 3,0,0,0,0,0,0
952,BRD3,Bromodomain containing 3,17400,57800,0,0,0,0
953,BRI3,Brain protein I3,163000,0,0,0,0,148000
954,BRI3BP,BRI3 binding protein,0,40900,0,0,110000,0
955,BRIX1,Ribosome biogenesis protein BRX1 homolog,230000,458000,0,0,440000,0
956,BRK1,Uncharacterized protein,1990000,1190000,682000,544000,797000,536000
957,BROX,BRO1 domain-containing protein BROX,43400000,48400000,30300000,15600000,11500000,26300000
958,BSCL2,Seipin,0,299000,0,27600,807000,0
959,BSG,Basigin,2.93E+08,3.16E+08,6.16E+08,2.45E+08,3.52E+08,3.25E+08
960,BSPRY,B-box and SPRY domain containing,4330000,5340000,4310000,0,0,0
961,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase,1350000,1070000,0,0,0,0
962,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase,1.69E+08,91800000,35500000,5740000,2910000,7160000
963,BST1,Bone marrow stromal cell antigen 1,103000,0,0,0,0,0
964,BST2,Bone marrow stromal antigen 2,44900000,3.40E+07,60600000,1.91E+08,1.16E+08,2.01E+08
965,BTAF1,B-TFIID TATA-box binding protein associated factor 1,0,0,0,0,662000,0
966,BTBD2,BTB domain containing 2,0,0,0,0,0,1320000
967,BTBD7,BTB domain containing 7,314000,363000,0,0,0,0
968,BTBD9,BTB/POZ domain-containing protein 9,0,0,0,0,0,0
969,BTD,Biotinidase,0,0,0,0,237000,0
970,BTF3,Transcription factor BTF3,848000,554000,0,599000,864000,0
971,BTF3L4,Transcription factor BTF3,741000,459000,1050000,1470000,1590000,1830000
972,BTRC,Beta-transducin repeat containing E3 ubiquitin protein ligase,0,0,0,254000,427000,0
973,BTRC,F-box and WD repeat domain containing 11,1880000,1710000,1250000,1820000,1490000,1400000
974,BUB3,BUB3 mitotic checkpoint protein,2560000,2990000,3950000,3860000,4790000,2800000
975,BUD31,Protein BUD31 homolog,310000,288000,0,0,215000,0
976,BYSL,Bystin like,147000,128000,0,859000,521000,0
977,BZW1,Basic leucine zipper and W2 domains 1,9880000,10800000,7520000,1.70E+07,20300000,14400000
978,BZW1,Basic leucine zipper and W2 domains 1,3540000,2820000,0,3250000,5420000,3200000
979,BZW2,Basic leucine zipper and W2 domains 2,7950000,6420000,6170000,5460000,6160000,4200000
980,C11H5orf15,Chromosome 5 open reading frame 15,3400000,4710000,3400000,1960000,3470000,1860000
981,C11H9orf72,C9orf72-SMCR8 complex subunit,0,0,0,0,0,0
982,C11orf52,Chromosome 11 open reading frame 52,2580000,2010000,4090000,0,0,0
983,C11orf54,Chromosome 11 open reading frame 54,3770000,2940000,1820000,1780000,1250000,1610000
984,C11orf68,Chromosome 11 open reading frame 68,1250000,1060000,0,1900000,1490000,1460000
985,C12H6orf120,UPF0669 protein C6orf120 homolog,0,0,0,0,0,0
986,C12H6orf132,Chromosome 6 open reading frame 132,13600000,13200000,11100000,0,0,0
987,C12H6orf136,Chromosome 12 C6orf136 homolog,0,0,0,0,0,0
988,C12orf4,Chromosome 12 open reading frame 4,0,219000,0,336000,0,0
989,C13H8orf33,UPF0488 protein C8orf33 homolog,138000,217000,41900,111000,0,110000
990,C15H12orf29,Chromosome 12 open reading frame 29,0,217000,0,232000,0,282000
991,C15H1orf50,Chromosome 1 open reading frame 50,238000,0,0,580000,101000,440000
992,C18H7orf25,Chromosome 7 open reading frame 25,0,0,0,246000,631000,0
993,C18H7orf57,Chromosome 7 open reading frame 57,563000,0,0,0,0,0
994,C19H4orf33,Chromosome 19 C4orf33 homolog,1030000,999000,722000,762000,0,0
995,C19orf12,Chromosome 19 open reading frame 12,186000,0,0,0,469000,0
996,C1GALT1,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,1080000,973000,1050000,105000,609000,511000
997,C1GALT1C1,C1GALT1 specific chaperone 1,811000,1050000,1060000,831000,745000,586000
998,C1H18orf54,Chromosome 1 C18orf54 homolog,1570000,1.00E+06,2990000,0,0,0
999,C1H19orf33,Collagen alpha-1(I) chain-like,0,125000,0,0,0,0
1000,C1H9orf64,Queuosine salvage protein,4310000,5080000,3460000,5700000,6980000,6740000
1001,C1orf68,Chromosome 1 open reading frame 68,0,3760000,4450000,5250000,7850000,0
1002,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",0,0,0,187000,554000,0
1003,C1QL1,Complement C1q like 1,0,0,0,879000,120000,188000
1004,C1R,Complement subcomponent C1r,0,0,0,503000,0,0
1005,C1RL,Complement C1r subcomponent like,0,0,0,0,0,0
1006,C1S,Complement C1s,0,0,1930000,637000,291000,555000
1007,C21H11orf58,Small acidic protein,72700,0,26200,0,0,0
1008,C23H3orf33,Chromosome 23 C3orf33 homolog,0,0,0,0,0,0
1009,C24H20orf27,Chromosome 20 open reading frame 27,855000,925000,0,5790000,3650000,4150000
1010,C27H12orf57,Protein C10,176000,0,0,0,86000,101000
1011,C28H10orf88,ATPase PAAT,0,0,0,0,689000,0
1012,C2CD2,C2 calcium dependent domain containing 2,206000,538000,0,0,0,0
1013,C2CD2L,C2CD2 like,0,0,0,41200,0,0
1014,C2CD5,C2 calcium dependent domain containing 5,2690000,3200000,3240000,2450000,2430000,2690000
1015,C2orf72,Chromosome 2 open reading frame 72,21500000,26600000,19900000,605000,666000,493000
1016,C2orf76,Chromosome 19 C2orf76 homolog,0,0,240000,0,0,0
1017,C3,Complement C3,9670000,4560000,44600000,3610000,5120000,7670000
1018,C30H15orf48,Chromosome 1 open reading frame 48,0,0,0,0,0,0
1019,C3H15orf40,Uncharacterized protein,1200000,1250000,907000,115000,242000,0
1020,C3H15orf40,Uncharacterized protein,367000,0,0,5.00E+05,287000,342000
1021,C3orf52,Chromosome 3 open reading frame 52,9380000,14600000,14600000,0,0,0
1022,C4H1orf198,DUF4706 domain-containing protein,4790000,5040000,3800000,2960000,3170000,3060000
1023,C4H5orf51,Chromosome 5 open reading frame 51,711000,0,0,583000,935000,343000
1024,C5,Complement C5,1350000,0,5440000,880000,1020000,1880000
1025,C5AR1,C5a anaphylatoxin chemotactic receptor 1,0,0,0,573000,1350000,1660000
1026,C5H17orf49,Chromosome 5 C17orf49 homolog,0,0,0,0,0,0
1027,C6H16orf91,Chromosome 16 open reading frame 91,0,0,0,0,0,0
1028,C6H7orf61,TSC22 domain family member 4,0,0,0,0,0,0
1029,C7,Complement C7,657000,314000,3060000,203000,362000,1380000
1030,C7H18orf21,Chromosome 7 C18orf21 homolog,0,0,0,0,0,0
1031,C7H18orf25,Chromosome 18 open reading frame 25,0,0,0,0,0,0
1032,C7H1orf21,Chromosome 1 open reading frame 21,756000,1020000,607000,2510000,1630000,2910000
1033,C7H1orf43,Chromosome 1 open reading frame 43,0,120000,0,0,0,3.00E+05
1034,C8A,Complement C8 alpha chain,0,0,1.00E+05,0,0,0
1035,C8B,Complement component C8 beta chain,0,0,1960000,0,0,0
1036,C8orf82,Chromosome 8 open reading frame 82,316000,210000,0,0,118000,0
1037,C9,Complement component C9,0,0,1460000,0,0,0
1038,C9H17orf58,Chromosome 9 C17orf58 homolog,598000,494000,0,873000,1990000,894000
1039,C9H17orf75,Chromosome 17 open reading frame 75,819000,233000,0,836000,731000,774000
1040,C9orf78,Chromosome 9 open reading frame 78,0,0,0,0,0,0
1041,CA12,Carbonic anhydrase,21200000,12800000,23900000,6140000,9270000,1.10E+07
1042,CA13,Carbonic anhydrase,1080000,793000,0,549000,416000,776000
1043,CA14,Carbonic anhydrase 14,774000,653000,1780000,0,0,0
1044,CA2,Carbonic anhydrase,46200000,42400000,91400000,22200000,17400000,24700000
1045,CA3,Carbonic anhydrase,0,0,0,0,0,0
1046,CA5B,Carbonic anhydrase 5B,0,0,0,0,0,0
1047,CA9,Carbonic anhydrase,0,0,0,638000,643000,937000
1048,CAB39,Calcium binding protein 39,31600000,33800000,62900000,5950000,4190000,7580000
1049,CAB39,Calcium binding protein 39,33600000,39200000,1.37E+08,1.10E+07,6230000,10600000
1050,CAB39L,Calcium binding protein 39 like,19300000,30300000,14400000,3710000,3650000,2150000
1051,CABLES1,Cdk5 and Abl enzyme substrate 1,229000,141000,0,0,0,0
1052,CABLES2,Cdk5 and Abl enzyme substrate 2,94800,0,0,61800,0,125000
1053,CACNA2D2,Calcium voltage-gated channel auxiliary subunit alpha2delta 2,0,0,0,10700000,6370000,14700000
1054,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3,40300,58300,0,0,130000,0
1055,CACNG4,Calcium voltage-gated channel auxiliary subunit gamma 4,0,0,0,0,0,946000
1056,CACUL1,CDK2 associated cullin domain 1,0,0,0,0,0,0
1057,CACYBP,Calcyclin-binding protein,5750000,6710000,7480000,23900000,19800000,17200000
1058,CAD,CAD protein,3280000,3720000,3560000,7490000,1.00E+07,5280000
1059,CAD,CAD protein,1380000,2260000,1990000,3900000,4.00E+06,2740000
1060,CAD,Uncharacterized protein,2780000,2700000,0,9070000,11900000,0
1061,CADM1,Cell adhesion molecule 1,740000,1090000,698000,2040000,2260000,4010000
1062,CADM4,Cell adhesion molecule 4,79200,0,0,1410000,1410000,1980000
1063,CALCOCO1,Calcium binding and coiled-coil domain 1,0,0,0,208000,414000,0
1064,CALCOCO2,Calcium binding and coiled-coil domain 2,396000,349000,771000,1530000,1940000,2360000
1065,CALM1,Calmodulin 1,41900000,5.80E+07,54600000,57300000,34600000,69400000
1066,CALML3,Calmodulin like 3,0,0,0,0,0,0
1067,CALR,Calreticulin,2420000,3020000,5080000,7360000,7880000,5230000
1068,CALR,Calreticulin (Fragment),1490000,1390000,2320000,4090000,5650000,3210000
1069,CALR3,Calreticulin,5450000,0,6870000,17500000,0,14100000
1070,CALU,Calumenin,532000,0,495000,7960000,3660000,6110000
1071,CALU,Calumenin,2680000,1770000,744000,11200000,8380000,10600000
1072,CALU,Calumenin,249000,0,0,2920000,2320000,2420000
1073,CAMK1,Calcium/calmodulin dependent protein kinase I,32100,0,0,0,80000,0
1074,CAMK1,Calcium/calmodulin dependent protein kinase I,354000,0,0,896000,681000,623000
1075,CAMK1D,Calcium/calmodulin dependent protein kinase ID,0,0,0,354000,334000,352000
1076,CAMK2D,Calcium/calmodulin dependent protein kinase II delta,0,0,0,0,177000,0
1077,CAMK2D,Calcium/calmodulin-dependent protein kinase,0,0,1700000,3380000,4590000,3650000
1078,CAMK2D,Calcium/calmodulin-dependent protein kinase,7900000,9210000,11200000,22500000,3.00E+07,18700000
1079,CAMK2D,Calcium/calmodulin-dependent protein kinase,0,0,4650000,0,538000,0
1080,CAMK2D,Calcium/calmodulin-dependent protein kinase,1900000,1320000,491000,2010000,3450000,2190000
1081,CAMK2D,Calcium/calmodulin-dependent protein kinase,4250000,4910000,0,20500000,23100000,17600000
1082,CAMK2G,Calcium/calmodulin-dependent protein kinase,0,0,0,517000,776000,92500
1083,CAMK2G,Calcium/calmodulin-dependent protein kinase,601000,584000,973000,1740000,1790000,1460000
1084,CAMK2G,Calcium/calmodulin-dependent protein kinase,0,0,0,0,266000,0
1085,CAMKK1,Calcium/calmodulin dependent protein kinase kinase 1,0,0,0,731000,685000,0
1086,CAMKK2,Calcium/calmodulin dependent protein kinase kinase 2,425000,240000,0,487000,7.00E+05,299000
1087,CAMLG,Guided entry of tail-anchored proteins factor,0,0,0,0,561000,0
1088,CAMSAP1,Calmodulin regulated spectrin associated protein 1,270000,193000,0,135000,283000,0
1089,CAMSAP2,Calmodulin regulated spectrin associated protein family member 2,0,0,0,0,302000,214000
1090,CAMSAP3,Calmodulin regulated spectrin associated protein family member 3,811000,179000,1030000,0,0,0
1091,CAND1,Cullin associated and neddylation dissociated 1,10400000,12500000,11200000,21600000,20500000,17900000
1092,CAND1,Cullin associated and neddylation dissociated 1,3650000,4150000,2440000,6430000,7850000,4110000
1093,CAND2,Cullin associated and neddylation dissociated 2 (putative),0,0,0,155000,396000,295000
1094,CANT1,Galectin-3-binding protein,545000,261000,0,885000,891000,695000
1095,CANT1,Galectin-3-binding protein,2100000,3720000,12600000,12600000,12400000,89200000
1096,CANT1,Galectin-3-binding protein,2930000,3360000,11700000,9530000,9070000,67500000
1097,CANT1,Soluble calcium-activated nucleotidase 1,0,0,0,0,0,0
1098,CANX,Calnexin,2070000,1620000,0,5450000,14700000,4270000
1099,CANX,Calnexin,9390000,9660000,7540000,64300000,84600000,43700000
1100,CAP1,Adenylyl cyclase-associated protein,11500000,9100000,17200000,22600000,16700000,22100000
1101,CAP1,Adenylyl cyclase-associated protein,33600000,26800000,3.50E+07,53200000,48700000,59100000
1102,CAP2,Adenylyl cyclase-associated protein,0,149000,252000,1720000,1790000,2.00E+06
1103,CAPG,Macrophage-capping protein,58400000,50300000,86900000,82900000,75200000,79600000
1104,CAPN1,Calpain-1 catalytic subunit,8990000,9740000,8820000,9530000,9900000,8410000
1105,CAPN13,Calpain 13,4770000,7530000,4400000,0,0,0
1106,CAPN15,Calpain 15,232000,249000,0,284000,273000,391000
1107,CAPN2,Calpain 2,16500000,1.50E+07,15700000,36400000,4.30E+07,35500000
1108,CAPN5,Calpain 5,51200000,70500000,8.70E+07,13700000,11100000,19800000
1109,CAPN6,Calpain 6,0,0,0,796000,571000,627000
1110,CAPN7,Calpain 7,11600000,1.70E+07,12300000,6350000,5390000,8780000
1111,CAPNS1,Calpain small subunit 1,20900000,16300000,20800000,31800000,33100000,24200000
1112,CAPRIN1,Cell cycle associated protein 1,1660000,1630000,2180000,2560000,3070000,1390000
1113,CAPS,Calcyphosin,1.20E+07,9320000,8730000,0,0,0
1114,CAPZA1,F-actin-capping protein subunit alpha,48800000,37500000,38700000,22100000,23900000,26200000
1115,CAPZA2,F-actin-capping protein subunit alpha-2,93600000,7.90E+07,62800000,36600000,51600000,44200000
1116,CAPZB,Capping actin protein of muscle Z-line subunit beta,0,0,0,1040000,1.00E+06,990000
1117,CAPZB,F-actin-capping protein subunit beta,15500000,18100000,17300000,15500000,16100000,14500000
1118,CAPZB,F-actin-capping protein subunit beta,74900000,67100000,74300000,56800000,52500000,62900000
1119,CAR1,Envelope protein syncytin-Car1,1460000,2430000,1210000,0,0,0
1120,CARD10,Caspase recruitment domain family member 10,107000,108000,0,0,0,0
1121,CARD19,Caspase recruitment domain family member 19,0,0,0,0,0,0
1122,CARD6,Caspase recruitment domain family member 6,0,0,0,0,0,0
1123,CARD6,Caspase recruitment domain family member 6,490000,495000,0,4500000,0,0
1124,CARD6,Caspase recruitment domain family member 6,143000,140000,0,0,0,0
1125,CARHSP1,Calcium regulated heat stable protein 1,3110000,2510000,0,8010000,8420000,5390000
1126,CARM1,Histone-arginine methyltransferase CARM1,2590000,2690000,2510000,3590000,3770000,3380000
1127,CARMIL1,Capping protein regulator and myosin 1 linker 1,99800,160000,1390000,0,0,0
1128,CARMIL1,Capping protein regulator and myosin 1 linker 1,21500000,23400000,26200000,3250000,3380000,3360000
1129,CARMIL1,Capping protein regulator and myosin 1 linker 1,3360000,3390000,5930000,813000,0,817000
1130,CARNMT1,Carnosine N-methyltransferase,2370000,2200000,2460000,2330000,1810000,1470000
1131,CARS1,Cysteine--tRNA ligase,1850000,1690000,4990000,3830000,3800000,3070000
1132,CARS2,Cysteine--tRNA ligase,0,0,0,0,0,0
1133,CASK,Calcium/calmodulin dependent serine protein kinase,7240000,8620000,8640000,5580000,5.00E+06,6510000
1134,CASK,Calcium/calmodulin dependent serine protein kinase,19500000,26300000,26100000,17200000,15400000,17600000
1135,CASK,Calcium/calmodulin dependent serine protein kinase,438000,399000,355000,272000,211000,494000
1136,CASKIN2,CASK interacting protein 2,685000,937000,699000,1130000,1240000,1240000
1137,CASP10,Caspase 10,2650000,2890000,2140000,1720000,2210000,1460000
1138,CASP14,Caspase 14,0,2030000,1380000,1170000,2210000,1160000
1139,CASP3,Caspase-3,1180000,1080000,5140000,1120000,1470000,753000
1140,CASP6,Caspase-14-like,695000,0,0,2240000,598000,2240000
1141,CASP6,Caspase-6,1960000,2280000,5280000,703000,506000,464000
1142,CASP7,Caspase 7,3290000,2550000,4150000,1250000,1030000,1100000
1143,CASP8,Caspase 8,3100000,3620000,2620000,5740000,6040000,5680000
1144,CASP9,Caspase 9,0,0,0,0,66200,0
1145,CAST,Calpastatin,4460000,4090000,6440000,5460000,2590000,6550000
1146,CASTOR1,Cytosolic arginine sensor for mTORC1 subunit 1,283000,312000,186000,243000,0,83300
1147,CASTOR1,Cytosolic arginine sensor for mTORC1 subunit 1,507000,575000,0,959000,668000,677000
1148,CASTOR2,Cytosolic arginine sensor for mTORC1 subunit 2,424000,268000,0,537000,585000,263000
1149,CAT,Catalase,1890000,1500000,1920000,1960000,2570000,684000
1150,CAV1,Caveolin-1,69600000,1.14E+08,2.31E+08,53600000,70500000,72600000
1151,CAV2,Caveolin-2,20500000,23300000,35200000,9150000,8200000,12500000
1152,CAVIN1,Caveolae associated protein 1,5790000,5880000,8050000,13700000,14200000,11600000
1153,CAVIN3,Uncharacterized protein,2730000,2490000,4030000,8390000,6520000,5720000
1154,CBARP,Uncharacterized protein,1760000,417000,0,739000,703000,718000
1155,CBFB,Core-binding factor subunit beta,3860000,2650000,2690000,3530000,4220000,3450000
1156,CBL,E3 ubiquitin-protein ligase CBL,1110000,1210000,2010000,419000,976000,811000
1157,CBL,E3 ubiquitin-protein ligase CBL,1560000,2170000,2560000,1040000,0,1460000
1158,CBLB,E3 ubiquitin-protein ligase CBL,488000,971000,875000,257000,708000,510000
1159,CBLC,E3 ubiquitin-protein ligase CBL,291000,421000,549000,0,0,0
1160,CBLN4,Cerebellin 4 precursor,2890000,13700000,9280000,0,4160000,903000
1161,CBR1,Carbonyl reductase (NADPH),10600000,12800000,12900000,14400000,14400000,1.20E+07
1162,CBR1,Carbonyl reductase (NADPH),0,0,0,0,0,0
1163,CBR1,Carbonyl reductase (NADPH),5240000,5260000,4850000,5150000,4050000,3290000
1164,CBR3,Carbonyl reductase (NADPH),13500000,12700000,0,14100000,13800000,12500000
1165,CBR3,Carbonyl reductase (NADPH),6540000,3170000,245000,3100000,1540000,0
1166,CBR4,Carbonyl reductase family member 4,0,0,0,0,0,0
1167,CBS,Cystathionine beta-synthase,5970000,7200000,6830000,3720000,4430000,3280000
1168,CBWD1,COBW domain containing 1,0,0,0,0,107000,0
1169,CBX3,Chromobox protein homolog 3,544000,281000,156000,723000,469000,505000
1170,CBX3,Chromobox protein homolog 3,0,0,0,0,0,0
1171,CC2D1A,Coiled-coil and C2 domain containing 1A,3480000,3380000,2460000,1070000,919000,1460000
1172,CC2D1A,Coiled-coil and C2 domain containing 1A,3210000,4080000,3870000,1890000,1650000,1810000
1173,CC2D1A,Coiled-coil and C2 domain containing 1A,2080000,2410000,0,1060000,1020000,1500000
1174,CC2D1B,Coiled-coil and C2 domain containing 1B,2680000,3480000,4240000,7020000,4830000,8730000
1175,CC2D2A,Coiled-coil and C2 domain containing 2A,582000,392000,645000,0,303000,0
